year,time_period,time_identifier,geographic_level,country_code,country_name,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
2016,201516,Academic year,National,E92000001,England,Final,Chinese,Male,3,36,80,95,98,100,1099
2017,201617,Academic year,National,E92000001,England,Final,Chinese,Male,2,32,80,96,98,99,1137
2018,201718,Academic year,National,E92000001,England,Revised,Chinese,Male,2.7,32.5,78.8,94.3,97.3,98.8,1273
2019,201819,Academic year,National,E92000001,England,Revised,Chinese,Male,1.9,28.6,78.6,94.6,97.4,98.3,877
2020,201920,Academic year,National,E92000001,England,Final,Chinese,Male,19,74.3,95.2,99.6,99.9,99.9,669
2021,202021,Academic year,National,E92000001,England,Final,Chinese,Male,44.6,84.9,95.3,98,98.4,98.4,509
2022,202122,Academic year,National,E92000001,England,Revised,Chinese,Male,26.9,60.8,92.2,97.7,98.7,99.4,525
2023,202223,Academic year,National,E92000001,England,Revised,Chinese,Male,3,36,83.8,96.5,98.6,99,573
2024,202324,Academic year,National,E92000001,England,Revised,Chinese,Male,15.1,54.2,90.2,95.5,96.9,98.3,650
2025,202425,Academic year,National,E92000001,England,Provisional,Chinese,Male,32.6,67.7,91.3,96.2,98.3,98.7,634
2016,201516,Academic year,National,E92000001,England,Final,Classical greek,All students,34,91,99,z,z,z,213
2017,201617,Academic year,National,E92000001,England,Final,Classical greek,All students,33,90,z,z,z,100,211
2018,201718,Academic year,National,E92000001,England,Revised,Classical greek,All students,25.6,76.9,88.9,95.3,97.9,99.6,234
2019,201819,Academic year,National,E92000001,England,Revised,Classical greek,All students,30.7,79.2,91.1,98,99,100,202
2020,201920,Academic year,National,E92000001,England,Final,Classical greek,All students,55.6,93,98.9,99.5,100,100,187
2021,202021,Academic year,National,E92000001,England,Final,Classical greek,All students,75.3,97.5,99.4,99.4,99.4,99.4,162
2022,202122,Academic year,National,E92000001,England,Revised,Classical greek,All students,58.8,93,98.9,100,100,100,187
2023,202223,Academic year,National,E92000001,England,Revised,Classical greek,All students,51.9,91.2,96.9,98.1,99.4,99.4,160
2024,202324,Academic year,National,E92000001,England,Revised,Classical greek,All students,56.1,91.5,96.8,99.5,99.5,100,189
2025,202425,Academic year,National,E92000001,England,Provisional,Classical greek,All students,52,88.8,96.4,99.5,100,100,196
2016,201516,Academic year,National,E92000001,England,Final,Classical greek,Female,33,89,z,z,z,z,85
2017,201617,Academic year,National,E92000001,England,Final,Classical greek,Female,20,85,z,z,z,100,93
2018,201718,Academic year,National,E92000001,England,Revised,Classical greek,Female,22.2,71.8,87.2,95.7,98.3,100,117
2019,201819,Academic year,National,E92000001,England,Revised,Classical greek,Female,28.4,80.4,89.2,98,99,100,102
2020,201920,Academic year,National,E92000001,England,Final,Classical greek,Female,49.5,91.4,100,100,100,100,93
2021,202021,Academic year,National,E92000001,England,Final,Classical greek,Female,84.6,98.7,98.7,98.7,98.7,98.7,78
2022,202122,Academic year,National,E92000001,England,Revised,Classical greek,Female,58.9,92.2,98.9,100,100,100,90
2023,202223,Academic year,National,E92000001,England,Revised,Classical greek,Female,44.6,89.2,97.3,97.3,98.6,98.6,74
2024,202324,Academic year,National,E92000001,England,Revised,Classical greek,Female,54.4,91.1,95.6,98.9,98.9,100,90
2025,202425,Academic year,National,E92000001,England,Provisional,Classical greek,Female,54.7,91.9,96.5,100,100,100,86
2016,201516,Academic year,National,E92000001,England,Final,Classical greek,Male,35,92,z,z,z,z,128
2017,201617,Academic year,National,E92000001,England,Final,Classical greek,Male,42,93,100,100,100,100,118
2018,201718,Academic year,National,E92000001,England,Revised,Classical greek,Male,29.1,82.1,90.6,94.9,97.4,99.1,117
2019,201819,Academic year,National,E92000001,England,Revised,Classical greek,Male,33,78,93,98,99,100,100
2020,201920,Academic year,National,E92000001,England,Final,Classical greek,Male,61.7,94.7,97.9,98.9,100,100,94
2021,202021,Academic year,National,E92000001,England,Final,Classical greek,Male,66.7,96.4,100,100,100,100,84
2022,202122,Academic year,National,E92000001,England,Revised,Classical greek,Male,58.8,93.8,99,100,100,100,97
2023,202223,Academic year,National,E92000001,England,Revised,Classical greek,Male,58.1,93,96.5,98.8,100,100,86
2024,202324,Academic year,National,E92000001,England,Revised,Classical greek,Male,57.6,91.9,98,100,100,100,99
2025,202425,Academic year,National,E92000001,England,Provisional,Classical greek,Male,50,86.4,96.4,99.1,100,100,110
1996,199596,Academic year,National,E92000001,England,Final,Computer science,All students,z,10,23,40,59,75,8550
1997,199697,Academic year,National,E92000001,England,Final,Computer science,All students,z,10,22,39,59,76,10118
1998,199798,Academic year,National,E92000001,England,Final,Computer science,All students,z,8,21,42,62,79,12529
1999,199899,Academic year,National,E92000001,England,Final,Computer science,All students,z,10,22,40,60,78,10435
2000,199900,Academic year,National,E92000001,England,Final,Computer science,All students,z,9,23,41,62,79,10851
2001,200001,Academic year,National,E92000001,England,Final,Computer science,All students,z,10,24,43,63,80,10913
2002,200102,Academic year,National,E92000001,England,Final,Computer science,All students,z,12,28,49,70,89,9329
2003,200203,Academic year,National,E92000001,England,Final,Computer science,All students,z,12,30,52,74,92,8256
2004,200304,Academic year,National,E92000001,England,Final,Computer science,All students,z,14,33,55,76,93,6853
2005,200405,Academic year,National,E92000001,England,Final,Computer science,All students,z,15,33,56,78,94,5810
2006,200506,Academic year,National,E92000001,England,Final,Computer science,All students,z,16,34,57,79,94,5017
2007,200607,Academic year,National,E92000001,England,Final,Computer science,All students,z,16,36,58,79,94,4643
2008,200708,Academic year,National,E92000001,England,Final,Computer science,All students,z,17,37,59,81,96,4192
2009,200809,Academic year,National,E92000001,England,Final,Computer science,All students,z,17,38,61,81,96,3945
2010,200910,Academic year,National,E92000001,England,Final,Computer science,All students,4,17,38,62,84,96,3683
2011,201011,Academic year,National,E92000001,England,Final,Computer science,All students,4,17,39,64,84,96,3517
2012,201112,Academic year,National,E92000001,England,Final,Computer science,All students,4,16,37,62,84,97,3420
2013,201213,Academic year,National,E92000001,England,Final,Computer science,All students,4,17,38,63,84,97,3399
2014,201314,Academic year,National,E92000001,England,Final,Computer science,All students,3,17,38,62,83,97,3736
2015,201415,Academic year,National,E92000001,England,Final,Computer science,All students,3,16,37,61,83,97,4838
2016,201516,Academic year,National,E92000001,England,Final,Computer science,All students,3,17,39,62,84,97,5599
2017,201617,Academic year,National,E92000001,England,Final,Computer science,All students,3,17,37,60,82,94,7544
2018,201718,Academic year,National,E92000001,England,Revised,Computer science,All students,3.4,18.1,38.6,61.6,82,94.5,9498
2019,201819,Academic year,National,E92000001,England,Revised,Computer science,All students,3.6,18.2,40.3,63.2,83.3,94.6,10379
2020,201920,Academic year,National,E92000001,England,Final,Computer science,All students,13.3,35.7,60.9,83.5,95.3,99.4,11875
2021,202021,Academic year,National,E92000001,England,Final,Computer science,All students,19.6,43.8,68.1,86.9,95.8,99.4,12940
2022,202122,Academic year,National,E92000001,England,Revised,Computer science,All students,14.6,35.2,57.4,75.7,90,96.8,15003
2023,202223,Academic year,National,E92000001,England,Revised,Computer science,All students,5.3,22.1,44.2,65.4,83.1,94.6,17205
2024,202324,Academic year,National,E92000001,England,Revised,Computer science,All students,6,24.3,46.1,67.1,84.6,95,19433
2025,202425,Academic year,National,E92000001,England,Provisional,Computer science,All students,6.2,25.2,48.8,70,86.3,95.5,18682
1996,199596,Academic year,National,E92000001,England,Final,Computer science,Female,z,6,17,32,54,74,1266
1997,199697,Academic year,National,E92000001,England,Final,Computer science,Female,z,6,18,34,55,75,1543
1998,199798,Academic year,National,E92000001,England,Final,Computer science,Female,z,5,18,38,60,78,2276
1999,199899,Academic year,National,E92000001,England,Final,Computer science,Female,z,6,15,32,52,73,1517
2000,199900,Academic year,National,E92000001,England,Final,Computer science,Female,z,6,18,36,57,77,1621
2001,200001,Academic year,National,E92000001,England,Final,Computer science,Female,z,7,20,40,59,78,1551
2002,200102,Academic year,National,E92000001,England,Final,Computer science,Female,z,11,28,50,72,91,1064
2003,200203,Academic year,National,E92000001,England,Final,Computer science,Female,z,11,30,51,74,92,937
2004,200304,Academic year,National,E92000001,England,Final,Computer science,Female,z,18,37,57,80,94,696
2005,200405,Academic year,National,E92000001,England,Final,Computer science,Female,z,16,38,59,80,96,491
2006,200506,Academic year,National,E92000001,England,Final,Computer science,Female,z,17,42,67,84,95,378
2007,200607,Academic year,National,E92000001,England,Final,Computer science,Female,z,18,39,62,83,96,380
2008,200708,Academic year,National,E92000001,England,Final,Computer science,Female,z,19,40,66,86,95,316
2009,200809,Academic year,National,E92000001,England,Final,Computer science,Female,z,17,44,65,85,98,293
2010,200910,Academic year,National,E92000001,England,Final,Computer science,Female,3,16,40,67,88,96,270
2011,201011,Academic year,National,E92000001,England,Final,Computer science,Female,5,23,47,71,88,97,241
2012,201112,Academic year,National,E92000001,England,Final,Computer science,Female,4,17,40,63,83,97,255
2013,201213,Academic year,National,E92000001,England,Final,Computer science,Female,5,24,45,66,81,98,210
2014,201314,Academic year,National,E92000001,England,Final,Computer science,Female,3,20,45,66,86,98,285
2015,201415,Academic year,National,E92000001,England,Final,Computer science,Female,4,22,44,64,86,98,417
2016,201516,Academic year,National,E92000001,England,Final,Computer science,Female,5,20,47,69,85,97,530
2017,201617,Academic year,National,E92000001,England,Final,Computer science,Female,2,14,34,60,83,95,709
2018,201718,Academic year,National,E92000001,England,Revised,Computer science,Female,4.4,20.1,40.9,62.8,82.8,95.4,1114
2019,201819,Academic year,National,E92000001,England,Revised,Computer science,Female,3.9,19.2,42,63,83.3,95,1368
2020,201920,Academic year,National,E92000001,England,Final,Computer science,Female,17.8,44.2,68.3,87.2,96.1,99.4,1721
2021,202021,Academic year,National,E92000001,England,Final,Computer science,Female,25.1,51.4,75.5,89.6,96.6,99.3,1910
2022,202122,Academic year,National,E92000001,England,Revised,Computer science,Female,16.8,38.9,61.4,79.1,92.3,97.4,2273
2023,202223,Academic year,National,E92000001,England,Revised,Computer science,Female,6.1,24.6,47.4,69.8,86.1,95.9,2605
2024,202324,Academic year,National,E92000001,England,Revised,Computer science,Female,7,26.5,49.2,70.4,86.4,95.9,3394
2025,202425,Academic year,National,E92000001,England,Provisional,Computer science,Female,7.2,27.8,51.6,72,87.9,96.4,3487
1996,199596,Academic year,National,E92000001,England,Final,Computer science,Male,z,11,24,41,60,76,7284
1997,199697,Academic year,National,E92000001,England,Final,Computer science,Male,z,10,23,40,60,77,8575
1998,199798,Academic year,National,E92000001,England,Final,Computer science,Male,z,9,22,43,63,80,10253
1999,199899,Academic year,National,E92000001,England,Final,Computer science,Male,z,10,23,41,61,78,8918
2000,199900,Academic year,National,E92000001,England,Final,Computer science,Male,z,10,24,42,62,80,9230
2001,200001,Academic year,National,E92000001,England,Final,Computer science,Male,z,11,24,43,64,81,9362
2002,200102,Academic year,National,E92000001,England,Final,Computer science,Male,z,12,28,48,70,89,8265
2003,200203,Academic year,National,E92000001,England,Final,Computer science,Male,z,13,30,52,74,92,7319
2004,200304,Academic year,National,E92000001,England,Final,Computer science,Male,z,14,32,54,76,93,6157
2005,200405,Academic year,National,E92000001,England,Final,Computer science,Male,z,14,33,55,77,94,5319
2006,200506,Academic year,National,E92000001,England,Final,Computer science,Male,z,16,34,56,79,94,4639
2007,200607,Academic year,National,E92000001,England,Final,Computer science,Male,z,16,35,57,78,94,4263
2008,200708,Academic year,National,E92000001,England,Final,Computer science,Male,z,17,37,58,80,96,3876
2009,200809,Academic year,National,E92000001,England,Final,Computer science,Male,z,17,37,60,81,95,3652
2010,200910,Academic year,National,E92000001,England,Final,Computer science,Male,4,17,38,62,83,96,3413
2011,201011,Academic year,National,E92000001,England,Final,Computer science,Male,4,17,39,64,83,96,3276
2012,201112,Academic year,National,E92000001,England,Final,Computer science,Male,4,16,37,62,84,97,3165
2013,201213,Academic year,National,E92000001,England,Final,Computer science,Male,4,17,38,63,84,97,3189
2014,201314,Academic year,National,E92000001,England,Final,Computer science,Male,3,16,37,62,83,97,3451
2015,201415,Academic year,National,E92000001,England,Final,Computer science,Male,3,16,36,60,82,97,4421
2016,201516,Academic year,National,E92000001,England,Final,Computer science,Male,3,16,38,62,84,97,5069
2017,201617,Academic year,National,E92000001,England,Final,Computer science,Male,3,17,38,61,82,94,6835
2018,201718,Academic year,National,E92000001,England,Revised,Computer science,Male,3.3,17.9,38.3,61.5,81.9,94.3,8384
2019,201819,Academic year,National,E92000001,England,Revised,Computer science,Male,3.6,18,40.1,63.3,83.3,94.5,9011
2020,201920,Academic year,National,E92000001,England,Final,Computer science,Male,12.6,34.3,59.7,82.9,95.1,99.3,10153
2021,202021,Academic year,National,E92000001,England,Final,Computer science,Male,18.7,42.5,66.8,86.5,95.6,99.4,11030
2022,202122,Academic year,National,E92000001,England,Revised,Computer science,Male,14.2,34.6,56.7,75.1,89.6,96.7,12730
2023,202223,Academic year,National,E92000001,England,Revised,Computer science,Male,5.1,21.6,43.6,64.7,82.5,94.4,14600
2024,202324,Academic year,National,E92000001,England,Revised,Computer science,Male,5.8,23.8,45.4,66.4,84.2,94.8,16037
2025,202425,Academic year,National,E92000001,England,Provisional,Computer science,Male,5.9,24.6,48.1,69.5,86,95.3,15195
1996,199596,Academic year,National,E92000001,England,Final,Design & technology,All students,z,12,27,50,73,87,8986
1997,199697,Academic year,National,E92000001,England,Final,Design & technology,All students,z,13,28,52,75,89,9493
1998,199798,Academic year,National,E92000001,England,Final,Design & technology,All students,z,12,26,49,72,88,10986
1999,199899,Academic year,National,E92000001,England,Final,Design & technology,All students,z,14,28,54,77,91,11412
2000,199900,Academic year,National,E92000001,England,Final,Design & technology,All students,z,14,30,57,79,92,12750
2001,200001,Academic year,National,E92000001,England,Final,Design & technology,All students,z,15,32,57,79,92,13781
2002,200102,Academic year,National,E92000001,England,Final,Design & technology,All students,z,13,35,60,82,95,14186
2003,200203,Academic year,National,E92000001,England,Final,Design & technology,All students,z,15,37,62,84,96,15374
2004,200304,Academic year,National,E92000001,England,Final,Design & technology,All students,z,15,37,63,84,97,15482
2005,200405,Academic year,National,E92000001,England,Final,Design & technology,All students,z,16,38,64,86,97,16077
2006,200506,Academic year,National,E92000001,England,Final,Design & technology,All students,z,17,41,68,88,98,16708
2007,200607,Academic year,National,E92000001,England,Final,Design & technology,All students,z,18,42,69,88,98,15525
2008,200708,Academic year,National,E92000001,England,Final,Design & technology,All students,z,19,42,68,88,97,15638
2009,200809,Academic year,National,E92000001,England,Final,Design & technology,All students,z,18,43,69,89,98,15445
2010,200910,Academic year,National,E92000001,England,Final,Design & technology,All students,5,18,42,70,89,98,15244
2011,201011,Academic year,National,E92000001,England,Final,Design & technology,All students,5,18,43,70,90,98,14878
2012,201112,Academic year,National,E92000001,England,Final,Design & technology,All students,5,17,42,69,89,98,13844
2013,201213,Academic year,National,E92000001,England,Final,Design & technology,All students,4,18,43,70,90,99,12467
2014,201314,Academic year,National,E92000001,England,Final,Design & technology,All students,5,18,42,69,90,99,11832
2015,201415,Academic year,National,E92000001,England,Final,Design & technology,All students,4,17,42,69,90,99,11323
2016,201516,Academic year,National,E92000001,England,Final,Design & technology,All students,5,17,41,68,89,99,10589
2017,201617,Academic year,National,E92000001,England,Final,Design & technology,All students,5,18,42,69,89,98,10588
2018,201718,Academic year,National,E92000001,England,Revised,Design & technology,All students,5.1,18.6,42.6,67.9,87.7,97.3,9639
2019,201819,Academic year,National,E92000001,England,Revised,Design & technology,All students,4.6,16.4,39.9,67.8,88.2,97,9258
2020,201920,Academic year,National,E92000001,England,Final,Design & technology,All students,10.9,32.7,61.1,85.9,96.3,99.7,9298
2021,202021,Academic year,National,E92000001,England,Final,Design & technology,All students,18.4,42,68.4,87.5,96.1,99.3,8343
2022,202122,Academic year,National,E92000001,England,Revised,Design & technology,All students,12.9,30.7,57.2,80.7,93.4,98,9643
2023,202223,Academic year,National,E92000001,England,Revised,Design & technology,All students,5.8,17.5,41.2,67.7,86.9,96.4,9015
2024,202324,Academic year,National,E92000001,England,Revised,Design & technology,All students,6.8,19.9,46.1,71.4,88.3,96.8,9008
2025,202425,Academic year,National,E92000001,England,Provisional,Design & technology,All students,6.2,19.5,45.4,71.8,88.8,97,9013
1996,199596,Academic year,National,E92000001,England,Final,Design & technology,Female,z,15,32,58,79,92,1797
1997,199697,Academic year,National,E92000001,England,Final,Design & technology,Female,z,13,30,58,80,92,2346
1998,199798,Academic year,National,E92000001,England,Final,Design & technology,Female,z,14,31,56,78,91,2603
1999,199899,Academic year,National,E92000001,England,Final,Design & technology,Female,z,15,32,60,81,94,2915
2000,199900,Academic year,National,E92000001,England,Final,Design & technology,Female,z,15,34,62,84,94,3591
2001,200001,Academic year,National,E92000001,England,Final,Design & technology,Female,z,17,37,64,84,94,4100
2002,200102,Academic year,National,E92000001,England,Final,Design & technology,Female,z,16,42,68,88,98,5144
2003,200203,Academic year,National,E92000001,England,Final,Design & technology,Female,z,18,44,70,89,98,5857
2004,200304,Academic year,National,E92000001,England,Final,Design & technology,Female,z,20,44,70,88,98,5978
2005,200405,Academic year,National,E92000001,England,Final,Design & technology,Female,z,20,47,73,91,98,6476
2006,200506,Academic year,National,E92000001,England,Final,Design & technology,Female,z,21,48,74,91,98,7012
2007,200607,Academic year,National,E92000001,England,Final,Design & technology,Female,z,23,49,75,91,98,6710
2008,200708,Academic year,National,E92000001,England,Final,Design & technology,Female,z,23,49,75,91,98,6643
2009,200809,Academic year,National,E92000001,England,Final,Design & technology,Female,z,22,49,74,92,99,6585
2010,200910,Academic year,National,E92000001,England,Final,Design & technology,Female,7,21,48,74,91,99,6715
2011,201011,Academic year,National,E92000001,England,Final,Design & technology,Female,7,21,49,76,92,99,6326
2012,201112,Academic year,National,E92000001,England,Final,Design & technology,Female,6,21,48,74,92,99,6011
2013,201213,Academic year,National,E92000001,England,Final,Design & technology,Female,4,20,49,76,93,99,5394
2014,201314,Academic year,National,E92000001,England,Final,Design & technology,Female,6,20,48,74,93,99,5032
2015,201415,Academic year,National,E92000001,England,Final,Design & technology,Female,6,20,48,75,93,99,4732
2016,201516,Academic year,National,E92000001,England,Final,Design & technology,Female,5,21,46,73,92,99,4222
2017,201617,Academic year,National,E92000001,England,Final,Design & technology,Female,6,22,48,74,91,99,4171
2018,201718,Academic year,National,E92000001,England,Revised,Design & technology,Female,6.7,24,50.2,74.6,90.6,98.1,3659
2019,201819,Academic year,National,E92000001,England,Revised,Design & technology,Female,5.6,20.5,47.1,73.8,91.4,97.9,2964
2020,201920,Academic year,National,E92000001,England,Final,Design & technology,Female,14.1,40.2,68.9,90.3,97.6,99.8,3029
2021,202021,Academic year,National,E92000001,England,Final,Design & technology,Female,26.5,54,78.7,92.8,97.6,99.5,2509
2022,202122,Academic year,National,E92000001,England,Revised,Design & technology,Female,17.2,39.1,66.5,86.7,95.4,98.8,2832
2023,202223,Academic year,National,E92000001,England,Revised,Design & technology,Female,8,23.6,50.9,76.2,91.7,98,2731
2024,202324,Academic year,National,E92000001,England,Revised,Design & technology,Female,8.7,25.7,55.7,78.2,91.7,98.1,2830
2025,202425,Academic year,National,E92000001,England,Provisional,Design & technology,Female,8.3,25.1,54.1,78.1,92.4,98.3,2983
1996,199596,Academic year,National,E92000001,England,Final,Design & technology,Male,z,12,25,48,71,86,7189
1997,199697,Academic year,National,E92000001,England,Final,Design & technology,Male,z,12,27,50,73,88,7147
1998,199798,Academic year,National,E92000001,England,Final,Design & technology,Male,z,11,24,47,70,87,8383
1999,199899,Academic year,National,E92000001,England,Final,Design & technology,Male,z,13,27,52,75,90,8497
2000,199900,Academic year,National,E92000001,England,Final,Design & technology,Male,z,13,29,55,77,91,9159
2001,200001,Academic year,National,E92000001,England,Final,Design & technology,Male,z,14,30,54,77,91,9681
2002,200102,Academic year,National,E92000001,England,Final,Design & technology,Male,z,12,31,56,79,94,9042
2003,200203,Academic year,National,E92000001,England,Final,Design & technology,Male,z,13,32,57,81,95,9517
2004,200304,Academic year,National,E92000001,England,Final,Design & technology,Male,z,12,32,58,81,96,9504
2005,200405,Academic year,National,E92000001,England,Final,Design & technology,Male,z,12,33,59,82,96,9601
2006,200506,Academic year,National,E92000001,England,Final,Design & technology,Male,z,14,36,63,85,97,9696
2007,200607,Academic year,National,E92000001,England,Final,Design & technology,Male,z,15,37,64,85,97,8815
2008,200708,Academic year,National,E92000001,England,Final,Design & technology,Male,z,16,37,64,85,97,8995
2009,200809,Academic year,National,E92000001,England,Final,Design & technology,Male,z,16,38,65,87,98,8860
2010,200910,Academic year,National,E92000001,England,Final,Design & technology,Male,4,16,38,66,87,97,8529
2011,201011,Academic year,National,E92000001,England,Final,Design & technology,Male,4,15,38,66,88,98,8552
2012,201112,Academic year,National,E92000001,England,Final,Design & technology,Male,4,15,38,66,87,98,7833
2013,201213,Academic year,National,E92000001,England,Final,Design & technology,Male,3,15,39,66,88,98,7073
2014,201314,Academic year,National,E92000001,England,Final,Design & technology,Male,4,15,38,65,88,98,6800
2015,201415,Academic year,National,E92000001,England,Final,Design & technology,Male,3,14,37,65,88,98,6591
2016,201516,Academic year,National,E92000001,England,Final,Design & technology,Male,4,15,38,65,87,98,6367
2017,201617,Academic year,National,E92000001,England,Final,Design & technology,Male,4,15,38,65,87,97,6417
2018,201718,Academic year,National,E92000001,England,Revised,Design & technology,Male,4.1,15.3,37.9,63.8,85.9,96.8,5980
2019,201819,Academic year,National,E92000001,England,Revised,Design & technology,Male,4.2,14.5,36.6,65,86.7,96.5,6294
2020,201920,Academic year,National,E92000001,England,Final,Design & technology,Male,9.4,29.1,57.3,83.7,95.7,99.6,6269
2021,202021,Academic year,National,E92000001,England,Final,Design & technology,Male,15,36.8,64,85.3,95.4,99.2,5834
2022,202122,Academic year,National,E92000001,England,Revised,Design & technology,Male,11.2,27.3,53.3,78.3,92.6,97.7,6811
2023,202223,Academic year,National,E92000001,England,Revised,Design & technology,Male,4.9,14.8,37,64,84.8,95.7,6284
2024,202324,Academic year,National,E92000001,England,Revised,Design & technology,Male,5.9,17.3,41.7,68.3,86.8,96.2,6177
2025,202425,Academic year,National,E92000001,England,Provisional,Design & technology,Male,5.2,16.7,41.1,68.7,87,96.4,6030
1996,199596,Academic year,National,E92000001,England,Final,Drama,All students,z,11,26,46,67,84,7897
1997,199697,Academic year,National,E92000001,England,Final,Drama,All students,z,12,27,48,69,86,8754
1998,199798,Academic year,National,E92000001,England,Final,Drama,All students,z,12,28,53,75,88,9860
1999,199899,Academic year,National,E92000001,England,Final,Drama,All students,z,14,31,58,78,91,10653
2000,199900,Academic year,National,E92000001,England,Final,Drama,All students,z,14,32,60,81,92,11095
2001,200001,Academic year,National,E92000001,England,Final,Drama,All students,z,15,33,62,82,93,11785
2002,200102,Academic year,National,E92000001,England,Final,Drama,All students,z,16,43,72,90,98,12556
2003,200203,Academic year,National,E92000001,England,Final,Drama,All students,z,14,42,74,92,99,13556
2004,200304,Academic year,National,E92000001,England,Final,Drama,All students,z,15,44,76,93,99,13955
2005,200405,Academic year,National,E92000001,England,Final,Drama,All students,z,18,48,79,94,99,14468
2006,200506,Academic year,National,E92000001,England,Final,Drama,All students,z,19,50,80,95,99,14951
2007,200607,Academic year,National,E92000001,England,Final,Drama,All students,z,20,51,80,95,99,14922
2008,200708,Academic year,National,E92000001,England,Final,Drama,All students,z,21,52,82,96,99,15158
2009,200809,Academic year,National,E92000001,England,Final,Drama,All students,z,19,52,82,96,100,15298
2010,200910,Academic year,National,E92000001,England,Final,Drama,All students,6,19,48,78,94,99,15262
2011,201011,Academic year,National,E92000001,England,Final,Drama,All students,4,18,49,79,95,99,14597
2012,201112,Academic year,National,E92000001,England,Final,Drama,All students,4,16,47,79,95,100,13670
2013,201213,Academic year,National,E92000001,England,Final,Drama,All students,4,16,47,79,96,99,12540
2014,201314,Academic year,National,E92000001,England,Final,Drama,All students,4,15,46,78,95,100,11806
2015,201415,Academic year,National,E92000001,England,Final,Drama,All students,4,16,47,78,95,99,11914
2016,201516,Academic year,National,E92000001,England,Final,Drama,All students,4,16,46,77,95,99,11209
2017,201617,Academic year,National,E92000001,England,Final,Drama,All students,4,17,48,78,95,100,10733
2018,201718,Academic year,National,E92000001,England,Revised,Drama,All students,4.6,18.4,51,79.8,95,99.2,10158
2019,201819,Academic year,National,E92000001,England,Revised,Drama,All students,4.4,18.4,51.4,81.6,95.5,99.3,9255
2020,201920,Academic year,National,E92000001,England,Final,Drama,All students,12.6,39.3,73.3,94.3,99,99.9,8692
2021,202021,Academic year,National,E92000001,England,Final,Drama,All students,20.4,48.4,78,94.8,99,99.8,8633
2022,202122,Academic year,National,E92000001,England,Revised,Drama,All students,15.3,39.2,72,91.2,97.8,99.5,8930
2023,202223,Academic year,National,E92000001,England,Revised,Drama,All students,5.7,21.6,56.2,83.1,96,99.2,8334
2024,202324,Academic year,National,E92000001,England,Revised,Drama,All students,6.4,22.9,60.1,86.6,96.6,99.3,7863
2025,202425,Academic year,National,E92000001,England,Provisional,Drama,All students,6.3,23.1,62.4,89.3,97.9,99.6,7372
1996,199596,Academic year,National,E92000001,England,Final,Drama,Female,z,12,28,49,69,85,5820
1997,199697,Academic year,National,E92000001,England,Final,Drama,Female,z,13,28,50,71,87,6422
1998,199798,Academic year,National,E92000001,England,Final,Drama,Female,z,13,30,56,78,90,7243
1999,199899,Academic year,National,E92000001,England,Final,Drama,Female,z,14,33,60,80,92,7733
2000,199900,Academic year,National,E92000001,England,Final,Drama,Female,z,14,33,62,82,93,8043
2001,200001,Academic year,National,E92000001,England,Final,Drama,Female,z,16,35,64,84,94,8610
2002,200102,Academic year,National,E92000001,England,Final,Drama,Female,z,17,46,74,92,98,9075
2003,200203,Academic year,National,E92000001,England,Final,Drama,Female,z,16,45,76,93,99,9830
2004,200304,Academic year,National,E92000001,England,Final,Drama,Female,z,17,47,78,94,99,9952
2005,200405,Academic year,National,E92000001,England,Final,Drama,Female,z,19,51,81,95,99,10274
2006,200506,Academic year,National,E92000001,England,Final,Drama,Female,z,21,53,82,96,99,10459
2007,200607,Academic year,National,E92000001,England,Final,Drama,Female,z,22,55,83,96,100,10542
2008,200708,Academic year,National,E92000001,England,Final,Drama,Female,z,23,55,85,97,100,10456
2009,200809,Academic year,National,E92000001,England,Final,Drama,Female,z,22,55,85,97,100,10478
2010,200910,Academic year,National,E92000001,England,Final,Drama,Female,6,22,52,82,96,99,10292
2011,201011,Academic year,National,E92000001,England,Final,Drama,Female,4,20,53,83,97,100,9893
2012,201112,Academic year,National,E92000001,England,Final,Drama,Female,4,18,50,82,96,100,9349
2013,201213,Academic year,National,E92000001,England,Final,Drama,Female,5,18,51,82,97,100,8603
2014,201314,Academic year,National,E92000001,England,Final,Drama,Female,4,17,50,81,96,100,8185
2015,201415,Academic year,National,E92000001,England,Final,Drama,Female,5,18,51,81,96,100,8136
2016,201516,Academic year,National,E92000001,England,Final,Drama,Female,5,18,50,81,96,100,7775
2017,201617,Academic year,National,E92000001,England,Final,Drama,Female,5,18,51,81,96,100,7438
2018,201718,Academic year,National,E92000001,England,Revised,Drama,Female,5.4,21,54.6,82.8,96.2,99.5,7142
2019,201819,Academic year,National,E92000001,England,Revised,Drama,Female,4.9,20.4,54.4,83.5,96.1,99.4,6502
2020,201920,Academic year,National,E92000001,England,Final,Drama,Female,13.4,41.9,75.9,95.5,99.3,99.9,6255
2021,202021,Academic year,National,E92000001,England,Final,Drama,Female,21.9,51.5,81,95.8,99.2,99.8,6219
2022,202122,Academic year,National,E92000001,England,Revised,Drama,Female,16.3,41.5,74.6,93,98.4,99.6,6480
2023,202223,Academic year,National,E92000001,England,Revised,Drama,Female,6.1,23.4,59.7,85.8,96.8,99.3,6069
