time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps_per_entry,aps_per_entry_2013_2015,aps_per_entry_grade,aps_per_entry_grade_2013_2015,year_2013_2015,year
202324,Academic year,National,E92000001,England,Provisional,Studio schools,All state-funded schools,All students,210,29.1595,NA,C, ,NA,2024
202324,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),All state-funded schools,All students,1503,26.2192,NA,C-, ,NA,2024
202223,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Female,34001,33.0556,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Female,18163,43.052,NA,B+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All schools,All schools,Female,125143,36.5325,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Female,159064,35.8306,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Female,106957,35.3155,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Female,140912,34.7939,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Female,73561,35.9947,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Female,1833,33.2421,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Female,3178,36.8112,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Female,18134,43.0658,NA,B+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Female,29,25.9302,NA,C-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Female,17008,34.8958,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Female,14280,29.8429,NA,C, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Female,19721,35.3632,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,Female,10554,31.0925,NA,C, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,Female,125,30.123,NA,C, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,Female,442,25.1989,NA,C-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Male,23468,31.6153,NA,C, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Male,18055,42.0086,NA,B+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All schools,All schools,Male,109744,35.2629,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Male,133134,34.6502,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Male,91655,33.83,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Male,115079,33.3942,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Male,62437,34.5562,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Male,1952,31.6873,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Male,2349,36.85,NA,B-, ,NA,2023
