year,time_period,school_type,school_type_group,characteristic_gender,number_of_students,aps,aps_grade,version,cert_type
2022,202122,All FE sector colleges,All FE sector colleges,All students,54465,36.288,B-,Revised,Alevel
2022,202122,All independent schools,All independent schools,All students,34618,45.6063,A-,Revised,Alevel
2022,202122,All schools,All schools,All students,229915,39.4551,B,Revised,Alevel
2022,202122,All schools and FE sector colleges,All Institutions,All students,284380,38.8739,B,Revised,Alevel
2022,202122,All state-funded schools,All state-funded schools,All students,195258,38.2834,B-,Revised,Alevel
2022,202122,All state-funded schools and colleges,All state-funded,All students,249723,37.8621,B-,Revised,Alevel
2022,202122,Converter academies - mainstream,All state-funded schools,All students,134454,39.0556,B,Revised,Alevel
2022,202122,Free schools,All state-funded schools,All students,3021,35.4211,B-,Revised,Alevel
2022,202122,Free schools 16-19,All state-funded schools,All students,5139,40.0147,B,Revised,Alevel
2022,202122,Independent schools,All independent schools,All students,34552,45.6248,A-,Revised,Alevel
2022,202122,Independent special schools,All independent schools,All students,66,30.3734,C,Revised,Alevel
2022,202122,LA maintained mainstream schools,All state-funded schools,All students,31346,37.6197,B-,Revised,Alevel
2022,202122,Other FE sector colleges,All FE sector colleges,All students,21374,33.3723,C+,Revised,Alevel
2022,202122,Sixth form colleges,All FE sector colleges,All students,33091,38.1922,B-,Revised,Alevel
2022,202122,Sponsored academies - mainstream,All state-funded schools,All students,19127,34.0532,C+,Revised,Alevel
2022,202122,Studio schools,All state-funded schools,All students,286,30.1279,C,Revised,Alevel
2022,202122,University technical colleges (UTCs),All state-funded schools,All students,1467,27.797,C-,Revised,Alevel
2021,202021,All FE sector colleges,All FE sector colleges,All students,54161,38.5994,B,Final,Alevel
2021,202021,All independent schools,All independent schools,All students,34623,49.4038,A,Final,Alevel
2021,202021,All schools,All schools,All students,217999,42.3779,B+,Final,Alevel
2021,202021,All schools and FE sector colleges,All Institutions,All students,271471,41.6626,B,Final,Alevel
2021,202021,All state-funded schools,All state-funded schools,All students,183343,40.9747,B,Final,Alevel
2021,202021,All state-funded schools and colleges,All state-funded,All students,236927,40.4587,B,Final,Alevel
2021,202021,Converter academies - mainstream,All state-funded schools,All students,125536,41.3369,B,Final,Alevel
2021,202021,Free schools,All state-funded schools,All students,2628,40.7731,B,Final,Alevel
2021,202021,Free schools 16-19,All state-funded schools,All students,4149,42.6105,B+,Final,Alevel
2021,202021,Independent schools,All independent schools,All students,34578,49.4127,A,Final,Alevel
2021,202021,Independent special schools,All independent schools,All students,45,36.5441,B-,Final,Alevel
2021,202021,LA maintained mainstream schools,All state-funded schools,All students,31327,40.6502,B,Final,Alevel
2021,202021,Other FE sector colleges,All FE sector colleges,All students,20390,37.0849,B-,Final,Alevel
2021,202021,Sixth form colleges,All FE sector colleges,All students,33771,39.5062,B,Final,Alevel
2021,202021,Sponsored academies - mainstream,All state-funded schools,All students,17761,38.5624,B,Final,Alevel
2021,202021,Studio schools,All state-funded schools,All students,255,37.9067,B-,Final,Alevel
2021,202021,University technical colleges (UTCs),All state-funded schools,All students,1261,36.0379,B-,Final,Alevel
2020,201920,All FE sector colleges,All FE sector colleges,All students,58046,36.7442,B-,Final,Alevel
