year,time_period,school_type,school_type_group,characteristic_gender,number_of_students,aps,aps_grade,version,cert_type
2018,201718,All state-funded schools and colleges,All state-funded,Female,145071,32.84,C+,Revised,Alevel
2018,201718,Converter academies - mainstream,State-funded schools,Female,68199,33.96,C+,Revised,Alevel
2018,201718,Free schools,State-funded schools,Female,491,29.27,C,Revised,Alevel
2018,201718,Free schools 16-19,State-funded schools,Female,940,36.17,B-,Revised,Alevel
2018,201718,Independent schools,Independent schools,Female,18169,42.15,B+,Revised,Alevel
2018,201718,Independent special schools,Independent schools,Female,10,26.19,C-,Revised,Alevel
2018,201718,LA maintained mainstream schools,State-funded schools,Female,24173,32.31,C+,Revised,Alevel
2018,201718,Other FE sector colleges,FE sector colleges,Female,15533,28.61,C,Revised,Alevel
2018,201718,Sixth form colleges,FE sector colleges,Female,28399,33.63,C+,Revised,Alevel
2018,201718,Sponsored academies - mainstream,State-funded schools,Female,10846,28.74,C,Revised,Alevel
2018,201718,Studio schools,State-funded schools,Female,125,24,D+,Revised,Alevel
2018,201718,University technical colleges (UTCs),State-funded schools,Female,438,20.72,D,Revised,Alevel
2018,201718,All FE sector colleges,FE sector colleges,Male,32619,30.04,C,Revised,Alevel
2018,201718,All independent schools,Independent schools,Male,18349,40.46,B,Revised,Alevel
2018,201718,All schools,All schools,Male,108363,33.1,C+,Revised,Alevel
2018,201718,All schools and FE sector colleges,All Institutions,Male,136433,32.56,C+,Revised,Alevel
2018,201718,All state-funded schools,State-funded schools,Male,89990,31.46,C,Revised,Alevel
2018,201718,All state-funded schools and colleges,All state-funded,Male,118364,31.21,C,Revised,Alevel
2018,201718,Converter academies - mainstream,State-funded schools,Male,57757,32.52,C+,Revised,Alevel
2018,201718,Free schools,State-funded schools,Male,603,29.82,C,Revised,Alevel
2018,201718,Free schools 16-19,State-funded schools,Male,806,36.94,B-,Revised,Alevel
2018,201718,Independent schools,Independent schools,Male,18297,40.49,B,Revised,Alevel
2018,201718,Independent special schools,Independent schools,Male,52,26.21,C-,Revised,Alevel
2018,201718,LA maintained mainstream schools,State-funded schools,Male,20100,30.4,C,Revised,Alevel
2018,201718,Other FE sector colleges,FE sector colleges,Male,10984,27.26,C-,Revised,Alevel
2018,201718,Sixth form colleges,FE sector colleges,Male,21635,31.39,C,Revised,Alevel
2018,201718,Sponsored academies - mainstream,State-funded schools,Male,9236,26.54,C-,Revised,Alevel
2018,201718,Studio schools,State-funded schools,Male,241,20.34,D,Revised,Alevel
2018,201718,University technical colleges (UTCs),State-funded schools,Male,1063,19.94,D,Revised,Alevel
2017,201617,All FE sector colleges,FE sector colleges,All students,91729,30.03,C,Revised,Alevel
2017,201617,All independent schools,Independent schools,All students,38168,40.69,B,Revised,Alevel
2017,201617,All schools,All schools,All students,235654,33.07,C+,Revised,Alevel
2017,201617,All schools and FE sector colleges,All Institutions,All students,316202,32.39,C+,Revised,Alevel
2017,201617,All state-funded schools,State-funded schools,All students,197423,31.45,C,Revised,Alevel
2017,201617,All state-funded schools and colleges,All state-funded,All students,278897,31.13,C,Revised,Alevel
2017,201617,Converter academies - mainstream,State-funded schools,All students,119639,32.55,C+,Revised,Alevel
2017,201617,Free schools,State-funded schools,All students,947,28.6,C,Revised,Alevel
2017,201617,Free schools 16-19,State-funded schools,All students,1654,34.94,C+,Revised,Alevel
2017,201617,Independent schools,Independent schools,All students,38110,40.7,B,Revised,Alevel
2017,201617,Independent special schools,Independent schools,All students,58,26.44,C-,Revised,Alevel
2017,201617,LA maintained mainstream schools,State-funded schools,All students,51824,30.38,C,Revised,Alevel
2017,201617,Other FE sector colleges,FE sector colleges,All students,28120,26.99,C-,Revised,Alevel
2017,201617,Sixth form colleges,FE sector colleges,All students,63609,31.24,C,Revised,Alevel
2017,201617,Sponsored academies - mainstream,State-funded schools,All students,21029,27,C-,Revised,Alevel
2017,201617,Studio schools,State-funded schools,All students,349,23.41,D+,Revised,Alevel
2017,201617,University technical colleges (UTCs),State-funded schools,All students,1525,21.16,D,Revised,Alevel
2017,201617,All FE sector colleges,FE sector colleges,Female,52365,30.93,C,Revised,Alevel
2017,201617,All independent schools,Independent schools,Female,18999,41.34,B,Revised,Alevel
2017,201617,All schools,All schools,Female,124785,33.83,C+,Revised,Alevel
2017,201617,All schools and FE sector colleges,All Institutions,Female,171468,33.12,C+,Revised,Alevel
2017,201617,All state-funded schools,State-funded schools,Female,105770,32.35,C+,Revised,Alevel
2017,201617,All state-funded schools and colleges,All state-funded,Female,152943,32,C+,Revised,Alevel
2017,201617,Converter academies - mainstream,State-funded schools,Female,64384,33.39,C+,Revised,Alevel
2017,201617,Free schools,State-funded schools,Female,421,29.21,C,Revised,Alevel
2017,201617,Free schools 16-19,State-funded schools,Female,903,34.85,C+,Revised,Alevel
2017,201617,Independent schools,Independent schools,Female,18988,41.35,B,Revised,Alevel
2017,201617,Independent special schools,Independent schools,Female,11,25.24,C-,Revised,Alevel
2017,201617,LA maintained mainstream schools,State-funded schools,Female,28010,31.29,C,Revised,Alevel
2017,201617,Other FE sector colleges,FE sector colleges,Female,16368,27.71,C-,Revised,Alevel
2017,201617,Sixth form colleges,FE sector colleges,Female,35997,32.24,C+,Revised,Alevel
2017,201617,Sponsored academies - mainstream,State-funded schools,Female,11242,28.09,C-,Revised,Alevel
2017,201617,Studio schools,State-funded schools,Female,145,26,C-,Revised,Alevel
2017,201617,University technical colleges (UTCs),State-funded schools,Female,400,22.6,D+,Revised,Alevel
2017,201617,All FE sector colleges,FE sector colleges,Male,39364,28.8,C,Revised,Alevel
2017,201617,All independent schools,Independent schools,Male,19169,40.01,B,Revised,Alevel
2017,201617,All schools,All schools,Male,110869,32.18,C+,Revised,Alevel
2017,201617,All schools and FE sector colleges,All Institutions,Male,144734,31.49,C,Revised,Alevel
2017,201617,All state-funded schools,State-funded schools,Male,91653,30.37,C,Revised,Alevel
2017,201617,All state-funded schools and colleges,All state-funded,Male,125954,30.05,C,Revised,Alevel
2017,201617,Converter academies - mainstream,State-funded schools,Male,55255,31.54,C,Revised,Alevel
2017,201617,Free schools,State-funded schools,Male,526,28.04,C-,Revised,Alevel
2017,201617,Free schools 16-19,State-funded schools,Male,751,35.05,B-,Revised,Alevel
2017,201617,Independent schools,Independent schools,Male,19122,40.03,B,Revised,Alevel
2017,201617,Independent special schools,Independent schools,Male,47,26.6,C-,Revised,Alevel
2017,201617,LA maintained mainstream schools,State-funded schools,Male,23814,29.25,C,Revised,Alevel
2017,201617,Other FE sector colleges,FE sector colleges,Male,11752,25.95,C-,Revised,Alevel
2017,201617,Sixth form colleges,FE sector colleges,Male,27612,29.88,C,Revised,Alevel
2017,201617,Sponsored academies - mainstream,State-funded schools,Male,9787,25.68,C-,Revised,Alevel
2017,201617,Studio schools,State-funded schools,Male,204,21.52,D,Revised,Alevel
2017,201617,University technical colleges (UTCs),State-funded schools,Male,1125,20.56,D,Revised,Alevel
2016,201516,All FE sector colleges,FE sector colleges,All students,94459,29.21,C,Revised,Alevel
2016,201516,All independent schools,Independent schools,All students,37867,40.76,B,Revised,Alevel
2016,201516,All schools,All schools,All students,239749,32.58,C+,Revised,Alevel
2016,201516,All schools and FE sector colleges,All Institutions,All students,323273,31.79,C+,Revised,Alevel
2016,201516,All state-funded schools,State-funded schools,All students,201871,30.84,C,Revised,Alevel
